Experimento,phi_s0,Pendiente,s_hat,prof_mm,z_tilde,eta,theta_deg,phi_s,Pe,Pe_std,n_muestras
Exp_phis50_i3cm,0.5000,i3cm,0.0250,0.2500,0.9941,0.9941,11.1822,0.0531,5783.9240,677.3807,2127
Exp_phis50_i3cm,0.5000,i3cm,0.0250,0.7500,0.9824,0.9824,11.1822,0.0687,3270.2560,361.1823,2123
Exp_phis50_i3cm,0.5000,i3cm,0.0250,1.2500,0.9707,0.9707,11.1822,0.1188,2198.5277,340.1494,2106
Exp_phis50_i3cm,0.5000,i3cm,0.0250,1.7500,0.9589,0.9589,11.1822,0.1646,1615.8752,292.4986,2090
Exp_phis50_i3cm,0.5000,i3cm,0.0250,2.2500,0.9472,0.9472,11.1822,0.2481,1209.0025,314.5701,2089
Exp_phis50_i3cm,0.5000,i3cm,0.0250,2.7500,0.9355,0.9355,11.1822,0.3676,897.1926,280.2847,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,3.2500,0.9237,0.9237,11.1822,0.4315,720.4261,226.6627,2116
Exp_phis50_i3cm,0.5000,i3cm,0.0250,3.7500,0.9120,0.9120,11.1822,0.3822,668.8404,194.3926,2093
Exp_phis50_i3cm,0.5000,i3cm,0.0250,4.2500,0.9003,0.9003,11.1822,0.2809,665.3541,133.2719,2088
Exp_phis50_i3cm,0.5000,i3cm,0.0250,4.7500,0.8885,0.8885,11.1822,0.1455,683.7916,79.6084,2081
Exp_phis50_i3cm,0.5000,i3cm,0.0250,5.2500,0.8768,0.8768,11.1822,0.0458,678.8800,41.3989,2082
Exp_phis50_i3cm,0.5000,i3cm,0.0250,5.7500,0.8651,0.8651,11.1822,0.0353,629.2433,54.9635,2084
Exp_phis50_i3cm,0.5000,i3cm,0.0250,6.2500,0.8533,0.8533,11.1822,0.0188,590.1181,27.7763,2085
Exp_phis50_i3cm,0.5000,i3cm,0.0250,6.7500,0.8416,0.8416,11.1822,0.0224,547.3590,24.7064,2083
Exp_phis50_i3cm,0.5000,i3cm,0.0250,7.2500,0.8299,0.8299,11.1822,0.0435,503.0348,34.0656,2084
Exp_phis50_i3cm,0.5000,i3cm,0.0250,7.7500,0.8181,0.8181,11.1822,0.0443,471.8787,26.1210,2084
Exp_phis50_i3cm,0.5000,i3cm,0.0250,8.2500,0.8064,0.8064,11.1822,0.0720,434.4754,37.9604,2087
Exp_phis50_i3cm,0.5000,i3cm,0.0250,8.7500,0.7947,0.7947,11.1822,0.0957,402.2304,49.1157,2088
Exp_phis50_i3cm,0.5000,i3cm,0.0250,9.2500,0.7829,0.7829,11.1822,0.0978,380.5588,47.3539,2093
Exp_phis50_i3cm,0.5000,i3cm,0.0250,9.7500,0.7712,0.7712,11.1822,0.1082,358.2825,66.6689,2093
Exp_phis50_i3cm,0.5000,i3cm,0.0250,10.2500,0.7595,0.7595,11.1822,0.1965,314.6314,83.9424,2095
Exp_phis50_i3cm,0.5000,i3cm,0.0250,10.7500,0.7477,0.7477,11.1822,0.3053,268.6915,88.8014,2097
Exp_phis50_i3cm,0.5000,i3cm,0.0250,11.2500,0.7360,0.7360,11.1822,0.3371,248.0122,100.1859,2097
Exp_phis50_i3cm,0.5000,i3cm,0.0250,11.7500,0.7243,0.7243,11.1822,0.3907,223.6427,95.2107,2098
Exp_phis50_i3cm,0.5000,i3cm,0.0250,12.2500,0.7125,0.7125,11.1822,0.5506,173.4335,93.9604,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,12.7500,0.7008,0.7008,11.1822,0.7361,120.4210,75.1607,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,13.2500,0.6891,0.6891,11.1822,0.9100,73.6126,45.9757,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,13.7500,0.6773,0.6773,11.1822,0.9520,61.0147,38.1224,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,14.2500,0.6656,0.6656,11.1822,0.9809,52.2593,29.5088,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,14.7500,0.6539,0.6539,11.1822,0.9872,49.0921,27.3258,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,15.2500,0.6422,0.6422,11.1822,0.9876,47.4123,26.0352,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,15.7500,0.6304,0.6304,11.1822,0.9877,45.9102,25.1113,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,16.2500,0.6187,0.6187,11.1822,0.9880,44.4558,23.8641,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,16.7500,0.6070,0.6070,11.1822,0.9885,43.0195,22.2380,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,17.2500,0.5952,0.5952,11.1822,0.9887,41.7506,21.3451,2099
Exp_phis50_i3cm,0.5000,i3cm,0.0250,17.7500,0.5835,0.5835,11.1822,0.9884,40.6891,21.4602,2100
Exp_phis50_i3cm,0.5000,i3cm,0.0250,18.2500,0.5718,0.5718,11.1822,0.9889,39.4816,20.0954,2100
Exp_phis50_i3cm,0.5000,i3cm,0.0250,18.7500,0.5600,0.5600,11.1822,0.9891,38.3968,19.1367,2100
Exp_phis50_i3cm,0.5000,i3cm,0.0250,19.2500,0.5483,0.5483,11.1822,0.9888,37.5154,19.5098,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,19.7500,0.5366,0.5366,11.1822,0.9890,36.5233,18.7774,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,20.2500,0.5248,0.5248,11.1822,0.9892,35.5929,17.9864,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,20.7500,0.5131,0.5131,11.1822,0.9894,34.7133,17.4983,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,21.2500,0.5014,0.5014,11.1822,0.9898,33.8323,16.5779,2101
Exp_phis50_i3cm,0.5000,i3cm,0.0250,21.7500,0.4896,0.4896,11.1822,0.9897,33.1203,16.7117,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,22.2500,0.4779,0.4779,11.1822,0.9904,32.2624,15.6943,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,22.7500,0.4662,0.4662,11.1822,0.9908,31.4887,15.0040,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,23.2500,0.4544,0.4544,11.1822,0.9911,30.7868,15.0122,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,23.7500,0.4427,0.4427,11.1822,0.9891,30.4033,14.1860,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,24.2500,0.4310,0.4310,11.1822,0.9770,31.4004,16.1578,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,24.7500,0.4192,0.4192,11.1822,0.9769,30.7868,15.4114,2102
Exp_phis50_i3cm,0.5000,i3cm,0.0250,25.2500,0.4075,0.4075,11.1822,0.9863,28.9982,13.9272,2103
Exp_phis50_i3cm,0.5000,i3cm,0.0250,25.7500,0.3958,0.3958,11.1822,0.9858,28.5510,14.6506,2104
Exp_phis50_i3cm,0.5000,i3cm,0.0250,26.2500,0.3840,0.3840,11.1822,0.9836,28.2742,14.4128,2104
Exp_phis50_i3cm,0.5000,i3cm,0.0250,26.7500,0.3723,0.3723,11.1822,0.9630,30.3136,15.6610,2105
Exp_phis50_i3cm,0.5000,i3cm,0.0250,27.2500,0.3606,0.3606,11.1822,0.9229,34.6109,18.0121,2105
Exp_phis50_i3cm,0.5000,i3cm,0.0250,27.7500,0.3488,0.3488,11.1822,0.9628,29.2710,14.5342,2105
Exp_phis50_i3cm,0.5000,i3cm,0.0250,28.2500,0.3371,0.3371,11.1822,0.9912,25.4635,13.3631,2106
Exp_phis50_i3cm,0.5000,i3cm,0.0250,28.7500,0.3254,0.3254,11.1822,0.9925,24.8731,13.1595,2106
Exp_phis50_i3cm,0.5000,i3cm,0.0250,29.2500,0.3136,0.3136,11.1822,0.9924,24.4521,12.8957,2106
Exp_phis50_i3cm,0.5000,i3cm,0.0250,29.7500,0.3019,0.3019,11.1822,0.9918,24.1880,13.8289,2108
Exp_phis50_i3cm,0.5000,i3cm,0.0250,30.2500,0.2902,0.2902,11.1822,0.9920,23.7692,13.5426,2108
Exp_phis50_i3cm,0.5000,i3cm,0.0250,30.7500,0.2784,0.2784,11.1822,0.9922,23.3493,13.2145,2108
Exp_phis50_i3cm,0.5000,i3cm,0.0250,31.2500,0.2667,0.2667,11.1822,0.9924,22.9505,12.8289,2108
Exp_phis50_i3cm,0.5000,i3cm,0.0250,31.7500,0.2550,0.2550,11.1822,0.9919,22.6810,13.1988,2109
Exp_phis50_i3cm,0.5000,i3cm,0.0250,32.2500,0.2432,0.2432,11.1822,0.9912,22.4696,13.9680,2111
Exp_phis50_i3cm,0.5000,i3cm,0.0250,32.7500,0.2315,0.2315,11.1822,0.9910,22.1789,14.0374,2112
Exp_phis50_i3cm,0.5000,i3cm,0.0250,33.2500,0.2198,0.2198,11.1822,0.9893,22.0819,14.5444,2114
Exp_phis50_i3cm,0.5000,i3cm,0.0250,33.7500,0.2080,0.2080,11.1822,0.9829,22.4478,15.3654,2116
Exp_phis50_i3cm,0.5000,i3cm,0.0250,34.2500,0.1963,0.1963,11.1822,0.9787,22.5450,15.2998,2117
Exp_phis50_i3cm,0.5000,i3cm,0.0250,34.7500,0.1846,0.1846,11.1822,0.9839,21.8661,16.5416,2121
Exp_phis50_i3cm,0.5000,i3cm,0.0250,35.2500,0.1728,0.1728,11.1822,0.9876,21.2770,16.7471,2123
Exp_phis50_i3cm,0.5000,i3cm,0.0250,35.7500,0.1611,0.1611,11.1822,0.9868,21.1195,17.2253,2125
Exp_phis50_i3cm,0.5000,i3cm,0.0250,36.2500,0.1494,0.1494,11.1822,0.9870,20.7967,16.7738,2125
Exp_phis50_i3cm,0.5000,i3cm,0.0250,36.7500,0.1376,0.1376,11.1822,0.9864,20.6333,17.1923,2127
Exp_phis50_i3cm,0.5000,i3cm,0.0250,37.2500,0.1259,0.1259,11.1822,0.9836,20.8374,19.2069,2133
Exp_phis50_i3cm,0.5000,i3cm,0.0250,37.7500,0.1142,0.1142,11.1822,0.9810,21.0093,20.7042,2139
Exp_phis50_i3cm,0.5000,i3cm,0.0250,38.2500,0.1024,0.1024,11.1822,0.9808,20.7577,20.5590,2139
Exp_phis50_i3cm,0.5000,i3cm,0.0250,38.7500,0.0907,0.0907,11.1822,0.9787,20.8079,21.3687,2143
Exp_phis50_i3cm,0.5000,i3cm,0.0250,39.2500,0.0790,0.0790,11.1822,0.9767,20.8736,22.2728,2148
Exp_phis50_i3cm,0.5000,i3cm,0.0250,39.7500,0.0672,0.0672,11.1822,0.9740,21.0595,23.4650,2155
Exp_phis50_i3cm,0.5000,i3cm,0.0250,40.2500,0.0555,0.0555,11.1822,0.9702,21.1655,23.4428,2157
Exp_phis50_i3cm,0.5000,i3cm,0.0250,40.7500,0.0438,0.0438,11.1822,0.9454,22.9259,23.4015,2157
Exp_phis50_i3cm,0.5000,i3cm,0.0250,41.2500,0.0320,0.0320,11.1822,0.9060,25.8983,23.7951,2159
Exp_phis50_i3cm,0.5000,i3cm,0.0250,41.7500,0.0203,0.0203,11.1822,0.8540,29.7152,24.5989,2159
Exp_phis50_i3cm,0.5000,i3cm,0.0250,42.2500,0.0086,0.0086,11.1822,0.8376,30.5874,28.2045,2158
Exp_phis50_i3cm,0.5000,i3cm,0.0750,0.2500,0.9941,0.9941,5.2752,0.0334,5817.6223,427.9340,1690
Exp_phis50_i3cm,0.5000,i3cm,0.0750,0.7500,0.9824,0.9824,5.2752,0.1029,3168.5732,289.1896,1688
Exp_phis50_i3cm,0.5000,i3cm,0.0750,1.2500,0.9707,0.9707,5.2752,0.1979,2029.8788,386.2733,1681
Exp_phis50_i3cm,0.5000,i3cm,0.0750,1.7500,0.9589,0.9589,5.2752,0.2575,1458.8664,408.0890,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,2.2500,0.9472,0.9472,5.2752,0.2549,1185.9275,283.4779,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,2.7500,0.9355,0.9355,5.2752,0.2672,983.0594,275.2109,1678
Exp_phis50_i3cm,0.5000,i3cm,0.0750,3.2500,0.9237,0.9237,5.2752,0.2678,846.1701,250.0004,1678
Exp_phis50_i3cm,0.5000,i3cm,0.0750,3.7500,0.9120,0.9120,5.2752,0.2156,783.9817,168.1999,1678
Exp_phis50_i3cm,0.5000,i3cm,0.0750,4.2500,0.9003,0.9003,5.2752,0.1586,736.2952,156.2307,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,4.7500,0.8885,0.8885,5.2752,0.1086,695.7422,104.7100,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,5.2500,0.8768,0.8768,5.2752,0.0954,641.7798,74.1734,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,5.7500,0.8651,0.8651,5.2752,0.0585,608.5723,47.2899,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,6.2500,0.8533,0.8533,5.2752,0.0343,574.3776,31.1526,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,6.7500,0.8416,0.8416,5.2752,0.0224,539.5961,24.8637,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,7.2500,0.8299,0.8299,5.2752,0.0142,507.6650,16.5044,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,7.7500,0.8181,0.8181,5.2752,0.0466,464.0293,26.2701,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,8.2500,0.8064,0.8064,5.2752,0.1027,416.7180,52.5474,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,8.7500,0.7947,0.7947,5.2752,0.0640,407.5228,35.2662,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,9.2500,0.7829,0.7829,5.2752,0.0641,386.2385,28.4018,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,9.7500,0.7712,0.7712,5.2752,0.1559,338.8254,58.3101,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,10.2500,0.7595,0.7595,5.2752,0.3783,256.2057,69.2159,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,10.7500,0.7477,0.7477,5.2752,0.5707,188.5893,55.0207,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,11.2500,0.7360,0.7360,5.2752,0.6618,154.9811,53.8757,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,11.7500,0.7243,0.7243,5.2752,0.7556,122.9007,63.5637,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,12.2500,0.7125,0.7125,5.2752,0.7927,108.2156,66.3690,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,12.7500,0.7008,0.7008,5.2752,0.8714,84.4939,50.6181,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,13.2500,0.6891,0.6891,5.2752,0.9620,59.3085,18.7936,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,13.7500,0.6773,0.6773,5.2752,0.9972,48.8231,8.1871,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,14.2500,0.6656,0.6656,5.2752,0.9982,46.8929,7.0969,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,14.7500,0.6539,0.6539,5.2752,0.9985,45.2750,6.1169,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,15.2500,0.6422,0.6422,5.2752,0.9987,43.7662,5.4584,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,15.7500,0.6304,0.6304,5.2752,0.9988,42.3659,4.8781,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,16.2500,0.6187,0.6187,5.2752,0.9990,41.0385,4.3080,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,16.7500,0.6070,0.6070,5.2752,0.9992,39.7879,3.9958,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,17.2500,0.5952,0.5952,5.2752,0.9993,38.6233,3.6394,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,17.7500,0.5835,0.5835,5.2752,0.9993,37.5468,3.4919,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,18.2500,0.5718,0.5718,5.2752,0.9993,36.5106,3.2082,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,18.7500,0.5600,0.5600,5.2752,0.9994,35.5380,2.9955,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,19.2500,0.5483,0.5483,5.2752,0.9994,34.6127,2.7605,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,19.7500,0.5366,0.5366,5.2752,0.9994,33.7381,2.5842,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,20.2500,0.5248,0.5248,5.2752,0.9995,32.9038,2.3480,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,20.7500,0.5131,0.5131,5.2752,0.9995,32.1080,2.0600,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,21.2500,0.5014,0.5014,5.2752,0.9996,31.3482,1.9527,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,21.7500,0.4896,0.4896,5.2752,0.9997,30.6128,1.5103,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,22.2500,0.4779,0.4779,5.2752,0.9998,29.9128,1.1279,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,22.7500,0.4662,0.4662,5.2752,0.9999,29.2507,0.9718,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,23.2500,0.4544,0.4544,5.2752,0.9999,28.6234,0.9087,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,23.7500,0.4427,0.4427,5.2752,0.9997,28.0454,0.6875,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,24.2500,0.4310,0.4310,5.2752,0.9782,30.3671,9.0402,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,24.7500,0.4192,0.4192,5.2752,0.9634,31.7249,14.0854,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,25.2500,0.4075,0.4075,5.2752,0.9709,30.1264,11.1902,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,25.7500,0.3958,0.3958,5.2752,0.9750,29.0231,9.5955,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,26.2500,0.3840,0.3840,5.2752,0.9677,29.3767,9.6578,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,26.7500,0.3723,0.3723,5.2752,0.9686,28.7271,8.8003,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,27.2500,0.3606,0.3606,5.2752,0.9537,30.0238,11.2002,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,27.7500,0.3488,0.3488,5.2752,0.9718,27.3342,7.4060,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,28.2500,0.3371,0.3371,5.2752,0.9981,23.7801,1.2168,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,28.7500,0.3254,0.3254,5.2752,0.9998,23.1757,0.4484,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,29.2500,0.3136,0.3136,5.2752,0.9997,22.7895,0.4521,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,29.7500,0.3019,0.3019,5.2752,0.9999,22.3873,0.3991,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,30.2500,0.2902,0.2902,5.2752,0.9999,22.0216,0.4842,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,30.7500,0.2784,0.2784,5.2752,0.9999,21.6609,0.4058,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,31.2500,0.2667,0.2667,5.2752,1.0000,21.3140,0.3789,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,31.7500,0.2550,0.2550,5.2752,0.9996,21.0134,0.4350,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,32.2500,0.2432,0.2432,5.2752,0.9924,21.3963,2.9791,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,32.7500,0.2315,0.2315,5.2752,0.9904,21.2594,3.4404,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,33.2500,0.2198,0.2198,5.2752,0.9948,20.5257,2.3082,1675
Exp_phis50_i3cm,0.5000,i3cm,0.0750,33.7500,0.2080,0.2080,5.2752,0.9969,20.0652,4.0488,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,34.2500,0.1963,0.1963,5.2752,0.9987,19.6114,3.9674,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,34.7500,0.1846,0.1846,5.2752,0.9931,19.8388,4.5115,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,35.2500,0.1728,0.1728,5.2752,0.9858,20.2077,5.6450,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,35.7500,0.1611,0.1611,5.2752,0.9881,19.7174,4.7997,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,36.2500,0.1494,0.1494,5.2752,0.9919,19.1171,4.5754,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,36.7500,0.1376,0.1376,5.2752,0.9971,18.4162,3.9710,1676
Exp_phis50_i3cm,0.5000,i3cm,0.0750,37.2500,0.1259,0.1259,5.2752,0.9971,18.2140,5.5806,1677
Exp_phis50_i3cm,0.5000,i3cm,0.0750,37.7500,0.1142,0.1142,5.2752,0.9957,18.2505,9.0248,1680
Exp_phis50_i3cm,0.5000,i3cm,0.0750,38.2500,0.1024,0.1024,5.2752,0.9942,18.2789,11.2485,1683
Exp_phis50_i3cm,0.5000,i3cm,0.0750,38.7500,0.0907,0.0907,5.2752,0.9922,18.3080,12.2796,1685
Exp_phis50_i3cm,0.5000,i3cm,0.0750,39.2500,0.0790,0.0790,5.2752,0.9879,18.4664,12.6210,1686
Exp_phis50_i3cm,0.5000,i3cm,0.0750,39.7500,0.0672,0.0672,5.2752,0.9726,19.5490,13.5321,1687
Exp_phis50_i3cm,0.5000,i3cm,0.0750,40.2500,0.0555,0.0555,5.2752,0.9218,23.4644,14.8001,1687
Exp_phis50_i3cm,0.5000,i3cm,0.0750,40.7500,0.0438,0.0438,5.2752,0.8836,26.2462,16.1583,1685
Exp_phis50_i3cm,0.5000,i3cm,0.0750,41.2500,0.0320,0.0320,5.2752,0.8331,29.9937,19.8166,1687
Exp_phis50_i3cm,0.5000,i3cm,0.0750,41.7500,0.0203,0.0203,5.2752,0.7329,37.4630,23.9178,1687
Exp_phis50_i3cm,0.5000,i3cm,0.0750,42.2500,0.0086,0.0086,5.2752,0.7515,35.5794,22.2768,1687
Exp_phis50_i3cm,0.5000,i3cm,0.1250,0.2500,0.9941,0.9941,1.6176,0.0579,5732.9234,357.8606,1651
Exp_phis50_i3cm,0.5000,i3cm,0.1250,0.7500,0.9824,0.9824,1.6176,0.0538,3251.4974,267.1075,1651
Exp_phis50_i3cm,0.5000,i3cm,0.1250,1.2500,0.9707,0.9707,1.6176,0.0647,2248.7543,257.3993,1650
Exp_phis50_i3cm,0.5000,i3cm,0.1250,1.7500,0.9589,0.9589,1.6176,0.1390,1622.6172,331.7686,1650
Exp_phis50_i3cm,0.5000,i3cm,0.1250,2.2500,0.9472,0.9472,1.6176,0.1638,1284.8883,287.1460,1649
Exp_phis50_i3cm,0.5000,i3cm,0.1250,2.7500,0.9355,0.9355,1.6176,0.1875,1058.0211,197.8449,1649
Exp_phis50_i3cm,0.5000,i3cm,0.1250,3.2500,0.9237,0.9237,1.6176,0.2364,867.2731,249.7297,1649
Exp_phis50_i3cm,0.5000,i3cm,0.1250,3.7500,0.9120,0.9120,1.6176,0.1293,844.8019,130.5246,1649
Exp_phis50_i3cm,0.5000,i3cm,0.1250,4.2500,0.9003,0.9003,1.6176,0.0778,788.6727,84.8043,1649
Exp_phis50_i3cm,0.5000,i3cm,0.1250,4.7500,0.8885,0.8885,1.6176,0.0328,739.3591,62.7495,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,5.2500,0.8768,0.8768,1.6176,0.0301,675.6544,51.2220,1644
Exp_phis50_i3cm,0.5000,i3cm,0.1250,5.7500,0.8651,0.8651,1.6176,0.0118,630.1984,19.6056,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,6.2500,0.8533,0.8533,1.6176,0.0134,582.1830,25.2206,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,6.7500,0.8416,0.8416,1.6176,0.0187,539.3210,26.7587,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,7.2500,0.8299,0.8299,1.6176,0.0158,505.1689,17.0805,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,7.7500,0.8181,0.8181,1.6176,0.0375,465.6756,36.5379,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,8.2500,0.8064,0.8064,1.6176,0.0427,436.8298,42.3865,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,8.7500,0.7947,0.7947,1.6176,0.0610,406.8757,35.3546,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,9.2500,0.7829,0.7829,1.6176,0.0979,374.2057,45.1592,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,9.7500,0.7712,0.7712,1.6176,0.2409,311.4158,76.5748,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,10.2500,0.7595,0.7595,1.6176,0.3877,252.4634,104.9529,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,10.7500,0.7477,0.7477,1.6176,0.5102,205.2980,114.5074,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,11.2500,0.7360,0.7360,1.6176,0.5760,177.9987,119.1440,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,11.7500,0.7243,0.7243,1.6176,0.6565,149.1289,105.5732,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,12.2500,0.7125,0.7125,1.6176,0.7150,128.2558,85.9664,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,12.7500,0.7008,0.7008,1.6176,0.8148,98.5037,57.5607,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,13.2500,0.6891,0.6891,1.6176,0.8939,75.7279,39.9107,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,13.7500,0.6773,0.6773,1.6176,0.9739,54.1956,16.0306,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,14.2500,0.6656,0.6656,1.6176,0.9982,46.7413,7.3818,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,14.7500,0.6539,0.6539,1.6176,0.9982,45.1655,7.7336,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,15.2500,0.6422,0.6422,1.6176,0.9983,43.6694,7.2402,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,15.7500,0.6304,0.6304,1.6176,0.9986,42.2423,5.9132,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,16.2500,0.6187,0.6187,1.6176,0.9989,40.9028,4.7961,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,16.7500,0.6070,0.6070,1.6176,0.9989,39.6808,4.6089,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,17.2500,0.5952,0.5952,1.6176,0.9992,38.4946,3.7164,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,17.7500,0.5835,0.5835,1.6176,0.9995,37.3705,3.1481,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,18.2500,0.5718,0.5718,1.6176,0.9995,36.3392,2.6669,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,18.7500,0.5600,0.5600,1.6176,0.9995,35.3773,2.7761,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,19.2500,0.5483,0.5483,1.6176,0.9996,34.4609,2.5417,1648
Exp_phis50_i3cm,0.5000,i3cm,0.1250,19.7500,0.5366,0.5366,1.6176,0.9996,33.5916,2.4045,1648
